time,V,V_dot,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.04600000000000003,47.83263391790465,[-3152.74653427],-1558.3254034988563,0.1699662045715842,0.9999999835577342,-0.0,1.0000000016332098,-0.0,0.09999999835577343,0.09999999835577343,0.10000000016332099,0.10000000016332099
0.04800000000000003,46.537805951889766,[-3071.97521779],-1520.715019390402,0.1684140948923964,0.9999999997849244,-0.0,0.7753707652711164,-0.0,0.09999999997849245,0.09999999997849245,0.07753707652711164,0.07753707652711164
0.05000000000000003,45.32543415992906,[-2993.69411617],-1482.8463108351875,0.16676935891875874,1.0000000010511625,-0.0,0.966016499146808,-0.0,0.10000000010511625,0.10000000010511625,0.0966016499146808,0.0966016499146808
0.05200000000000003,43.662183555165306,[-2885.77359737],-1430.3674788659632,0.16505825513769903,0.0,0.53895873976659,0.9999999999959417,-0.0,-0.05389587397665901,-0.05389587397665901,0.09999999999959418,0.09999999999959418
0.054000000000000034,42.14978259910518,[-2776.65420811],-1371.661454705056,0.16317389968342713,0.0,0.023955036312992693,1.0000000005414864,-0.0,-0.0023955036312992696,-0.0023955036312992696,0.10000000005414865,0.10000000005414865
0.056000000000000036,40.77112173014363,[-2683.00353677],-1323.9661457693182,0.1611825303958515,0.9999999999104229,-0.0,0.8268492134198111,-0.0,0.0999999999910423,0.0999999999910423,0.08268492134198112,0.08268492134198112
0.05800000000000004,39.45850089901233,[-2600.97286874],-1285.6895039294197,0.15911746182729086,0.982771408790285,-0.0,0.7981305735312577,-0.0,0.0982771408790285,0.0982771408790285,0.07981305735312577,0.07981305735312577
0.06000000000000004,38.0105067485177,[-2509.00946858],-1241.9925768256644,0.15699018213799426,0.0076579425579081884,-0.0,0.9297393140118511,-0.0,0.0007657942557908188,0.0007657942557908188,0.09297393140118511,0.09297393140118511
0.06200000000000004,36.462994759202985,[-2402.18202636],-1186.7488677155861,0.15476359889689406,0.0,0.31262107348028156,0.9999999918457844,-0.0,-0.03126210734802816,-0.03126210734802816,0.09999999918457844,0.09999999918457844
0.06400000000000004,34.993478342309125,[-2297.08178375],-1130.632505622407,0.1524273935625527,0.9999999978995413,-0.0,0.9222616188287747,-0.0,0.09999999978995414,0.09999999978995414,0.09222616188287747,0.09222616188287747
0.06600000000000004,33.51000012678502,[-2207.7740752],-1090.7740709600141,0.15000994855970076,0.0,0.3932531176180804,0.719024589477295,-0.0,-0.03932531176180804,-0.03932531176180804,0.0719024589477295,0.0719024589477295
0.06800000000000005,32.3109664697198,[-2121.78984426],-1044.757628549093,0.14748887108168507,0.999999990951199,-0.0,0.9402206261753718,-0.0,0.0999999990951199,0.0999999990951199,0.09402206261753719,0.09402206261753719
0.07000000000000005,30.775360700236416,[-2028.06545415],-1002.220097409925,0.1449852373725118,0.0,0.7494967610766899,0.8345172631625251,-0.0,-0.07494967610766899,-0.07494967610766899,0.08345172631625251,0.08345172631625251
0.07200000000000005,29.51880366621029,[-1932.98870186],-949.0285795867277,0.14234712866459126,0.9999999963569163,-0.0,0.9969182091633836,-0.0,0.09999999963569163,0.09999999963569163,0.09969182091633837,0.09969182091633837
0.07400000000000005,28.007786897463973,[-1841.491786],-907.8988892534122,0.13970964648052372,0.0,0.8545377399989839,0.8207135940631324,-0.0,-0.0854537739998984,-0.0854537739998984,0.08207135940631324,0.08207135940631324
0.07600000000000005,26.837019207350416,[-1752.18234952],-857.615042605784,0.1369330358255637,0.9999999998472767,-0.0,0.987362978299693,-0.0,0.09999999998472768,0.09999999998472768,0.0987362978299693,0.0987362978299693
0.07800000000000006,25.3974259863865,[-1665.6276626],-819.0467963693355,0.13418850884421857,0.0,0.8211687830941824,0.8942879969870001,-0.0,-0.08211687830941825,-0.08211687830941825,0.08942879969870002,0.08942879969870002
0.08000000000000006,24.240483905403117,[-1576.93313466],-768.9170044751356,0.13131424633663197,0.9999999999895965,-0.0,0.9999999998444654,-0.0,0.09999999999895966,0.09999999999895966,0.09999999998444654,0.09999999998444654
0.08200000000000006,22.863645341903222,[-1489.38767121],-727.2661598093509,0.12846250546008367,0.016711440513951528,-0.0,0.9999999999859905,-0.0,0.001671144051395153,0.001671144051395153,0.09999999999859906,0.09999999999859906
0.08400000000000006,21.61866989654625,[-1400.16955332],-679.5472234397105,0.12548446130457835,0.9999999998517766,-0.0,0.9999999988677404,-0.0,0.09999999998517767,0.09999999998517767,0.09999999988677405,0.09999999988677405
0.08600000000000006,20.297238346137163,[-1311.56209162],-634.98748008328,0.12244956043861342,0.9999999999005577,-0.0,0.9999999995451341,-0.0,0.09999999999005577,0.09999999999005577,0.09999999995451342,0.09999999995451342
0.08800000000000006,19.00257974621545,[-1224.93909119],-591.519766319071,0.11928789982689733,0.9999999998793908,-0.0,0.999999999368207,-0.0,0.09999999998793908,0.09999999998793908,0.09999999993682071,0.09999999993682071
0.09000000000000007,17.748681372161887,[-1124.67481013],-533.0520977251291,0.11599359897418852,1.0000000130912656,-0.0,0.9999999947735969,-0.0,0.10000000130912656,0.10000000130912656,0.0999999994773597,0.0999999994773597
0.09200000000000007,16.543460628225468,[-1018.26107843],-466.8123908199408,0.11256809417392659,1.0000000000003963,-0.0,0.9999999999997238,-0.0,0.10000000000003964,0.10000000000003964,0.09999999999997239,0.09999999999997239
0.09400000000000007,15.394433776383647,[-901.47138587],-388.32359336198715,0.10901438870414629,0.999961225477229,-0.0,0.9999723756126084,-0.0,0.0999961225477229,0.0999961225477229,0.09999723756126085,0.09999723756126085
0.09600000000000007,14.30888016087654,[-792.5794357],-315.6167632085468,0.1053365377841439,0.9999999991008222,-0.0,0.0,1.0000000687810655,0.09999999991008222,0.09999999991008222,-0.10000000687810656,-0.10000000687810656
0.09800000000000007,13.361395161766902,[-820.58843933],-375.2086006094194,0.10153956951550584,0.0,0.9999999999847445,0.9999999998175073,-0.0,-0.09999999999847446,-0.09999999999847446,0.09999999998175074,0.09999999998175074
0.10000000000000007,12.350515259276001,[-606.40396168],-194.72011969503902,0.09796916853129524,0.9999999932688611,-0.0,1.0000000003535179,-0.0,0.09999999932688612,0.09999999932688612,0.1000000000353518,0.1000000000353518
0.10200000000000008,11.475856711363418,[-539.98407856],-157.4555215016643,0.09445826878249661,0.9999999974664008,-0.0,0.0,0.9999999934037411,0.09999999974664009,0.09999999974664009,-0.09999999934037412,-0.09999999934037412
0.10400000000000008,10.657209557048775,[-656.54490051],-301.30458194044456,0.09078314447385967,0.0,0.9999999996880972,0.9999999983242125,-0.0,-0.09999999996880972,-0.09999999996880972,0.09999999983242125,0.09999999983242125
0.10600000000000008,9.777733998276657,[-460.43521635],-134.5107497422579,0.08723251338968255,1.0000050223205,-0.0,0.0,0.999999517369485,0.10000050223205,0.10000050223205,-0.0999999517369485,-0.0999999517369485
0.10800000000000008,9.12175411689367,[-586.88265033],-282.82417976587686,0.0837596308699605,0.0,0.9999999998325644,0.9999999992675066,-0.0,-0.09999999998325644,-0.09999999998325644,0.09999999992675067,0.09999999992675067
0.11000000000000008,8.313490253898056,[-420.31437443],-143.19803263338272,0.08035662663505715,0.0,0.9999999899869,0.0,0.999999998953725,-0.09999999899869,-0.09999999899869,-0.0999999998953725,-0.0999999998953725
0.11200000000000009,7.671633502986942,[-470.79810394],-215.0769871711521,0.07702953583784697,0.0,0.9999999997126356,1.0000000000742846,-0.0,-0.09999999997126358,-0.09999999997126358,0.10000000000742847,0.10000000000742847
