# ===== Simulation Performance =====
# wall_clock_time,97.335310
# physics_time,10.002000
# real_time_factor,0.102758
# control_time,0.017332
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1,u2
0.3900000000000003,0.3920000000000003,130.2649562072685,"[0.26493631260284567, 0.001114126200486334, 0.3043093019039146]","[0.18352312264445067, 0.0, 0.3122177538763051]",0.08180398761058,-83.78210522716222,-86.01700796724165,-85.86596039017418
0.4000000000000003,0.4020000000000003,109.92293551655132,"[0.2567746212652709, 0.0012375716591574153, 0.30675224786367544]","[0.1823023645851126, 0.0, 0.3121689979350037]",0.07467924597893424,-35.67043746414853,-36.38894808620716,-36.316804628210996
0.4100000000000003,0.4120000000000003,96.18387124901054,"[0.2504149918911534, 0.001311076316696421, 0.3083607961827173]","[0.18107096367723155, 0.0, 0.3121015302270167]",0.06945722612681544,-11.248777958981421,-10.793753585810984,-10.789628107639784
0.4200000000000003,0.4220000000000003,87.20351699740108,"[0.24586387623438152, 0.0013558452340358949, 0.3089912988164265]","[0.17982911437328572, 0.0, 0.3120153614062773]",0.0661178723561007,-1.9200162945208725,-0.9844053344546415,-1.0122946273253413
0.4300000000000003,0.43200000000000033,80.98326719567095,"[0.24266565971950943, 0.001384579825316455, 0.30884757280357783]","[0.17857701277567625, 0.0, 0.3119105050798412]",0.06417673474486643,-1.0038142990145535,0.02293484824912903,-0.020641537181486855
0.44000000000000034,0.44200000000000034,77.33295387769319,"[0.2403836264960809, 0.0014037412206129851, 0.30799797055445727]","[0.17731485660576013, 0.0, 0.3117869778057379]",0.06319807592674745,-0.87130318707355,0.03488132530391127,-0.016901580442227542
0.45000000000000034,0.45200000000000035,75.38861038946077,"[0.2388120872068721, 0.0014168690897451654, 0.3065849232449921]","[0.17604284517262797, 0.0, 0.3116447990903559]",0.0629887895354522,-0.7107663534618346,0.03347189706071969,-0.025151634789896956
0.46000000000000035,0.46200000000000035,75.0968609175841,"[0.2378469068334262, 0.0014256387532886584, 0.30481253098448197]","[0.17476117934163077, 0.0, 0.31148399138536265]",0.0634535250628716,-0.5371195964168599,0.049669420138041404,-0.016776417106826706
0.47000000000000036,0.47200000000000036,76.38539483741258,"[0.2373192549855072, 0.0014313371721021814, 0.30286834741595287]","[0.17347006150266073, 0.0, 0.31130458008415884]",0.0644200144065671,-0.2720931274125743,0.036787430724606246,-0.028032465129802907
0.48000000000000037,0.4820000000000004,78.52447575771963,"[0.23701700693372652, 0.0014360236592452231, 0.30094847236929867]","[0.17216969553819175, 0.0, 0.31110659351786873]",0.06565381469837371,-0.061159158116413634,0.05872694331455616,-0.00014325309239675816
0.4900000000000004,0.4920000000000004,81.19331548981086,"[0.23678723453936887, 0.0014387341689489836, 0.29912485486173823]","[0.1708602867910839, 0.0, 0.3108900629508663]",0.06698397208881005,0.04400895294500931,0.02370853457568013,-0.06735650780950748
0.5000000000000003,0.5020000000000003,84.0561066916588,"[0.2365635625762168, 0.0014491064201716957, 0.2974171903132991]","[0.16954204203215756, 0.0, 0.31065502257583816]",0.06833172270963069,0.045849515464942356,-0.038024208079179826,-0.08776729462892688
0.5100000000000003,0.5120000000000003,86.9590833237976,"[0.23631894292910324, 0.0014630815699934168, 0.2958182404818339]","[0.1682151694275417, 0.0, 0.3104015095083842]",0.06966301966131809,0.03574703543813681,-0.09961696558600026,-0.1702010717085448
0.5200000000000004,0.5220000000000004,89.95484008369282,"[0.2360856443903272, 0.0014799914516456388, 0.29438613234158056]","[0.16687987850580221, 0.0, 0.3101295637811566]",0.07098932342157697,0.02500101161275778,-0.12725781295857255,-0.1939238646622266
0.5300000000000004,0.5320000000000004,93.0366483583774,"[0.2358496632250611, 0.0014975708451117134, 0.2930871710944485]","[0.16553638012485478, 0.0, 0.3098392283375382]",0.07229683202355164,0.021087917562916808,-0.1314763594952787,-0.19723600857358708
0.5400000000000004,0.5420000000000004,96.153966317937,"[0.23559708015861058, 0.0015154167485259802, 0.2918809898224443]","[0.1641848864386681, 0.0, 0.3095305490248611]",0.07357652370053862,0.027554564226678135,-0.11627277164119929,-0.18200038257218212
0.5500000000000004,0.5520000000000004,99.28143627273265,"[0.23531988100001336, 0.0015335133720229854, 0.2907363377788195]","[0.1628256108637623, 0.0, 0.3092035745871673]",0.07482519429433852,0.025788401937600854,-0.11545070992688976,-0.18152758747725245
0.5600000000000004,0.5620000000000004,102.40289638566875,"[0.23501002749403951, 0.0015515250985628452, 0.28962367069353523]","[0.16145876804550777, 0.0, 0.30885835665751077]",0.07604056904527648,0.007525315622111809,-0.16740190067537705,-0.23631106381262737
0.5700000000000004,0.5720000000000004,105.50151447473786,"[0.23466881660847544, 0.0015692817284296652, 0.28853043097561226]","[0.16008457382423052, 0.0, 0.3084949497498045]",0.07722599255903059,0.08701683876691946,-0.08550854993206757,-0.14468000152501373
0.5800000000000004,0.5820000000000004,108.59195196588912,"[0.23429017743210606, 0.0015872069533948764, 0.2874356181454244]","[0.15870324520112822, 0.0, 0.3081134112502121]",0.07838032072968154,0.11140049255398943,-0.11026547800489028,-0.17845498802999152
0.5900000000000004,0.5920000000000004,111.65357213958039,"[0.2338761473845705, 0.0016061362685220876, 0.2863325507344211]","[0.1573150003040034, 0.0, 0.30771380140808546]",0.0795068977911688,0.11454759186888137,-0.1133341511521564,-0.18232215355346537
0.6000000000000004,0.6020000000000004,114.7025021124463,"[0.23343387488076714, 0.0016256894845453392, 0.2852251547235682]","[0.15592005835281827, 0.0, 0.3072961833264511]",0.08061119601282414,0.11730400027191717,-0.1155305369508477,-0.18171909857482488
