# ===== Simulation Performance =====
# wall_clock_time,3.099258
# physics_time,1.780000
# real_time_factor,0.574331
# control_time,0.006526
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
0.5750000000000004,0.5800000000000004,0.009665203556838482,"[0.196283934630039, 0.0, 0.15605764471618067]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0019337135575753265,-0.2620715602229019,-0.19184127650244753
0.6000000000000004,0.6050000000000004,0.012934077348589139,"[0.1981925075156298, 0.0, 0.1550760357924571]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.00021473869656284014,-0.28889450247409204,-0.18837690315251598
0.6250000000000004,0.6300000000000004,0.027936613058490163,"[0.19990522545019926, 0.0, 0.15425632968119873]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0021123687832140473,-0.12238985213207122,-0.1265693035481785
0.6500000000000005,0.6550000000000005,0.04915186539395922,"[0.2014246122493123, 0.0, 0.15364954622537524]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0037470231665377132,-0.5417473126150765,-0.18916576399153726
0.6750000000000005,0.6800000000000005,0.06816461940522239,"[0.2027413540443913, 0.0, 0.1533282717281695]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.005087708487016539,-0.018425564742710513,-0.06986635211664405
0.7000000000000005,0.7050000000000005,0.09342429089847154,"[0.20377815364906968, 0.0, 0.15299619796734595]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.006175001668595101,-0.3770581512439248,-0.07019644326824777
0.7250000000000005,0.7300000000000005,0.10024867228558715,"[0.20439249169575452, 0.0, 0.1527135860877481]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.006849496802196824,-0.5526452326727912,-0.10408091831942953
0.7500000000000006,0.7550000000000006,0.11423093507275206,"[0.20491323344674034, 0.0, 0.15281113773018118]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.007306824638077818,0.012033501536024269,0.03546579180771589
0.7750000000000006,0.7800000000000006,0.1271531319893763,"[0.2051878340439592, 0.0, 0.1529145995426261]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.007536226920132709,-0.04363618379810579,0.0980544881200441
0.8000000000000006,0.8050000000000006,0.10498849048594198,"[0.20506010914324255, 0.0, 0.15278080230791205]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.007455712457797195,-0.7453519726485381,-0.053011961236981237
0.8250000000000006,0.8300000000000006,0.09936771341217483,"[0.2048565871003471, 0.0, 0.15298595957390704]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0071987714176210615,-0.10385078821640764,0.10322439317039721
0.8500000000000006,0.8550000000000006,0.07828486802579275,"[0.20433828702136858, 0.0, 0.152986089709425]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.006706144358737435,-0.5153077243213036,0.06757768628079847
0.8750000000000007,0.8800000000000007,0.06230036048944988,"[0.20371174919641682, 0.0, 0.15321256760071905]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.006040059774711229,-0.2011833585945717,0.12420112557415942
0.9000000000000007,0.9050000000000007,0.04413479697119188,"[0.20292009731737684, 0.0, 0.15332147033547494]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.005257384969479101,-0.5465859516791455,0.0802048969635227
0.9250000000000007,0.9300000000000007,0.028515763801089042,"[0.20209559392086418, 0.0, 0.15361825420468755]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.004381137546849418,-0.3458465413476871,0.11957445530856481
0.9500000000000007,0.9550000000000007,0.01679927967537534,"[0.20120244994668948, 0.0, 0.1538812147890113]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0034529942173164574,-0.40326882497238764,0.12025777510826607
0.9750000000000008,0.9800000000000008,0.008101881002189741,"[0.20030232729684527, 0.0, 0.15422035937767697]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.002491251479037764,-0.4079814548438169,0.1166869132480052
1.0000000000000007,1.0050000000000006,0.0031599503321023616,"[0.19941783473038474, 0.0, 0.1546296868445068]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0015188175852891082,-0.40836982499977065,0.11955042112236311
1.0250000000000001,1.03,0.001982613780992507,"[0.19853329529807043, 0.0, 0.15508251258850592]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0005472316796746637,-0.400955158258995,0.12194026334481578
1.0499999999999996,1.0549999999999995,0.004503156722924587,"[0.197617801754682, 0.0, 0.1554858399533412]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0005031326726940861,-0.4013575368616196,0.11939151168351296
1.074999999999999,1.079999999999999,0.010124295724897254,"[0.1967334358814685, 0.0, 0.15587388758597884]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0014514798365801572,-0.3964458339615896,0.11206750550022535
1.0999999999999985,1.1049999999999984,0.0173813852228535,"[0.19593836540177223, 0.0, 0.15623800091037227]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.002323502875544614,-0.38171261068746737,0.10095967677587595
1.124999999999998,1.129999999999998,0.024880656735429295,"[0.19525867817404494, 0.0, 0.1565121328141067]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0030533006467675433,-0.4936507521366884,0.055797886630332375
1.1499999999999975,1.1549999999999974,0.03185132293372356,"[0.19471962804790396, 0.0, 0.15674202231105186]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.003638429934206239,-0.1918288266125074,0.11012880907958666
1.174999999999997,1.1799999999999968,0.03780099210553524,"[0.19422904813480607, 0.0, 0.15673955128869255]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.004084069491128843,-0.5558968999965678,0.017034467389341786
1.1999999999999964,1.2049999999999963,0.040275091974569965,"[0.19398036877533087, 0.0, 0.15689427117552748]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0043736296351768915,-0.17011950101247028,0.07764013949029828
1.2249999999999959,1.2299999999999958,0.04076088693707988,"[0.19380712218082596, 0.0, 0.15682091558216663]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.00450521803366599,-0.5350343049943254,-0.011131641056423733
1.2499999999999953,1.2549999999999952,0.03851168098671529,"[0.19385552542948073, 0.0, 0.15689181543246497]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0044874016495354135,-0.18137550510917963,0.04400740500078386
1.2749999999999948,1.2799999999999947,0.034576186250488306,"[0.19396289709836267, 0.0, 0.15676224004166156]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.004338794865462285,-0.49017195112421674,-0.031596003183895265
1.2999999999999943,1.3049999999999942,0.02944224041458637,"[0.19424071022110675, 0.0, 0.1567544741565539]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.004079189733518267,-0.22089223283098475,0.012895017850033054
1.3249999999999937,1.3299999999999936,0.02367187705288102,"[0.19455011889743706, 0.0, 0.1566032393387762]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0037352611537925648,-0.42256993007171006,-0.0388193178265963
1.3499999999999932,1.354999999999993,0.018175509798824856,"[0.1949541977532084, 0.0, 0.1565145289458156]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0033294303508303244,-0.2922142022837169,-0.017718365382312053
1.3749999999999927,1.3799999999999926,0.013072399017436169,"[0.1953692969360891, 0.0, 0.15635218941593862]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0028843693219707004,-0.3392905716793474,-0.031594024128233915
1.3999999999999921,1.404999999999992,0.008920467453574693,"[0.19579792547742836, 0.0, 0.1561821239684268]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0024240137819414053,-0.33340731888570413,-0.03352447885932849
1.4249999999999916,1.4299999999999915,0.005598045806680071,"[0.1962235168238094, 0.0, 0.15600271171783298]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0019626586202112625,-0.33337743706594414,-0.03424136140949897
1.449999999999991,1.454999999999991,0.0031475880411621134,"[0.19664091452257387, 0.0, 0.15582661148576174]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0015104228012558655,-0.33406621834397715,-0.03495362756137284
1.4749999999999905,1.4799999999999904,0.0015045991960789423,"[0.19705189332709588, 0.0, 0.15566535466576953]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0010716121683132828,-0.3349457774552815,-0.03537082206469391
1.49999999999999,1.50499999999999,0.0006153582901014224,"[0.1974590139071521, 0.0, 0.1555264829694586]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0006524604916141495,-0.33506439552298717,-0.03558501588105804
1.5249999999999895,1.5299999999999894,0.00040376127024899336,"[0.19785799600549886, 0.0, 0.155401517946384]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.00028650119935599356,-0.3332896286227534,-0.035213981533371595
1.549999999999989,1.5549999999999888,0.0007385525698594389,"[0.1982295933383177, 0.0, 0.1552525785317622]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0002618416231924022,-0.3310918202680694,-0.0344715669037483
1.5749999999999884,1.5799999999999883,0.0015711311418016276,"[0.19856052296645882, 0.0, 0.15505677437085108]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0005777424391141563,-0.33284538769618094,-0.03423220111619823
1.5999999999999879,1.6049999999999878,0.0028427083826761176,"[0.19886623093826808, 0.0, 0.15485486797788334]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0009238009049566322,-0.33517020942454395,-0.033390393997339465
1.6249999999999873,1.6299999999999872,0.004413402733425855,"[0.19915535821973449, 0.0, 0.15467773022996106]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0012564572332182788,-0.3365890196277049,-0.031390500915252306
1.6499999999999868,1.6549999999999867,0.006122158050038058,"[0.19942125617454223, 0.0, 0.15452655042883637]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0015601195337589047,-0.3382668884250535,-0.028465440228749875
1.6749999999999863,1.6799999999999862,0.007804640028665657,"[0.19965618721011338, 0.0, 0.15439976759308754]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0018262398395607724,-0.34025790066363465,-0.024690802116634582
1.6999999999999857,1.7049999999999856,0.009309659774469582,"[0.19985409742202517, 0.0, 0.1542968687067497]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.002048969666034664,-0.3424618392470876,-0.020206023904058536
1.7249999999999852,1.729999999999985,0.010515117985452916,"[0.20001086719028668, 0.0, 0.15421758564880084]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.002224515857518916,-0.3447668299519954,-0.015216090874194472
1.7499999999999847,1.7549999999999846,0.011339110082592778,"[0.20012439647570132, 0.0, 0.1541614253067581]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0023511285096955176,-0.3470619686391596,-0.009957645496004844
1.7749999999999841,1.779999999999984,0.011744133164800564,"[0.20019452130135174, 0.0, 0.1541274630909604]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.0024290319077519594,-0.34924833253587356,-0.0046680539113310585
