# ===== Simulation Performance =====
# wall_clock_time,56.286468
# physics_time,40.005000
# real_time_factor,0.710739
# control_time,0.005990
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
10.75000000000028,10.755000000000281,8.288235575590936e-05,"[0.09285350615699271, 0.0, 0.03710123522972606]","[0.09301863906727428, 0.0, 0.036970262607124715]",0.00021076694695595837,-0.15698846897428123,0.011333207007064576
10.775000000000285,10.780000000000285,7.897281657404986e-05,"[0.0931761201885236, 0.0, 0.03698453447845508]","[0.09333985196290928, 0.0, 0.036859874665085335]",0.00020578669299267956,-0.15706900938253243,0.010775218666292937
10.800000000000288,10.80500000000029,7.518250076050451e-05,"[0.09350175044578916, 0.0, 0.03687161451859361]","[0.09366403075221205, 0.0, 0.036753293827445244]",0.00020083496659330355,-0.15715487321031857,0.010217054214358838
10.825000000000292,10.830000000000293,7.151383081117275e-05,"[0.09383037924090389, 0.0, 0.036762484646892496]","[0.09399115543830787, 0.0, 0.03665052666861257]",0.00019591726455882552,-0.15724605360555186,0.009658722532072152
10.850000000000296,10.855000000000297,6.796909873244674e-05,"[0.094161988724469, 0.0, 0.03665715407956852]","[0.09432120584260512, 0.0, 0.036551579527749734]",0.00019103946372231017,-0.1573425433799512,0.009100233099116655
10.8750000000003,10.880000000000301,6.455045828020127e-05,"[0.09449656087402962, 0.0, 0.03655563195219269]","[0.09465416160604026, 0.0, 0.03645645850838247]",0.00018620784808237356,-0.15744433497663649,0.008541596029344144
10.900000000000304,10.905000000000305,6.125991773095762e-05,"[0.09483407748104165, 0.0, 0.03645792731874967]","[0.0949900021903334, 0.0, 0.03636516947802329]",0.00018142913763763852,-0.15755142043588113,0.007982822105115472
10.925000000000308,10.930000000000309,5.8099333232114395e-05,"[0.09517452013637047, 0.0, 0.03636404914983061]","[0.09532870687925535, 0.0, 0.036277718067809606]",0.0001767105186579594,-0.15766379135852587,0.007423922810680872
10.950000000000312,10.955000000000313,5.507040275931828e-05,"[0.09551787021436484, 0.0, 0.03627400632992967]","[0.09567025477990548, 0.0, 0.03619410967215639]",0.00017205967493388167,-0.15778143887009685,0.006864910363778177
10.975000000000316,10.980000000000317,5.217466069222713e-05,"[0.09586410885557817, 0.0, 0.03618780765383032]","[0.09601462482400042, 0.0, 0.03611434944842326]",0.00016748481928734012,-0.15790435358336075,0.006305797745932212
11.00000000000032,11.00500000000032,4.9413472994490996e-05,"[0.09621321694822836, 0.0, 0.036105461822070584]","[0.09636179576917378, 0.0, 0.03603844231659653]",0.00016299472429351066,-0.15803252556146105,0.005746598730873574
11.025000000000324,11.030000000000324,4.6788032964190405e-05,"[0.09656517510851839, 0.0, 0.03602697743549462]","[0.09671174620028623, 0.0, 0.03596639295898568]",0.00015859875073870905,-0.15816594428276967,0.005187327910779263
11.050000000000328,11.055000000000328,4.4299357497126985e-05,"[0.09691996365996347, 0.0, 0.03595236298890764]","[0.0970644545307469, 0.0, 0.03589820581993439]",0.00015430687182024896,-0.15830459860630658,0.004628000720506667
11.075000000000331,11.080000000000332,4.194828377461761e-05,"[0.09727756261189577, 0.0, 0.03588162686386517]","[0.09741989900384443, 0.0, 0.035833885105546665]",0.00015012969046895782,-0.15844847674089094,0.004068633459135501
11.100000000000335,11.105000000000336,3.973546627203266e-05,"[0.09763795163734755, 0.0, 0.0358147773206419]","[0.09777805769408954, 0.0, 0.035773434783427066]",0.00014607844645651494,-0.15859756621668153,0.0035092433090389407
11.12500000000034,11.13000000000034,3.766137395275927e-05,"[0.09800111005053275, 0.0, 0.03575182248943995]","[0.09813890850856709, 0.0, 0.03571685858243631]",0.0001421650091604861,-0.1587518538612158,0.0029498483520573452
11.150000000000343,11.155000000000344,3.5726287498833805e-05,"[0.09836701678417448, 0.0, 0.035692770360909294]","[0.09850242918829905, 0.0, 0.03566415999246089]",0.00013840185104813013,-0.15891132577970052,0.00239046758279126
11.175000000000347,11.180000000000348,3.3930296410379276e-05,"[0.0987356503669425, 0.0, 0.035637628776068284]","[0.0988685973096176, 0.0, 0.03561534226419813]",0.0001348019961943988,-0.15907596734056004,0.0018311209188672296
11.200000000000351,11.205000000000352,3.227329579778553e-05,"[0.09910698890127753, 0.0, 0.035586405415721285]","[0.0992373902855482, 0.0, 0.03557040840895542]",0.0001313789376010279,-0.159245763167694,0.001271829207794494
11.225000000000355,11.230000000000356,3.075498267848419e-05,"[0.09948101004190049, 0.0, 0.03553910778948818]","[0.09960878536720291, 0.0, 0.035529361198464615]",0.0001281465168965585,-0.15942069713790186,0.0007126142309126883
11.250000000000359,11.25500000000036,2.9374851599753867e-05,"[0.09985769097530393, 0.0, 0.03549574322456445]","[0.09998275964518374, 0.0, 0.03549220316471097]",0.0001251187604209345,-0.15960075238590501,0.00015349870388197415
11.275000000000363,11.280000000000364,2.813218941250462e-05,"[0.100237008400531, 0.0, 0.03545631885434348]","[0.10035929005099556, 0.0, 0.03545893659977711]",0.00012230966695847027,-0.15978591131634634,-0.0004054937260734077
11.300000000000367,11.305000000000367,2.702606903694272e-05,"[0.1006189385115427, 0.0, 0.03542084160703824]","[0.10073835335846934, 0.0, 0.035429563555701454]",0.00011973294473534075,-0.15997615562288062,-0.0009643384860867438
11.32500000000037,11.330000000000371,2.6055342088404303e-05,"[0.10100345698146938, 0.0, 0.03538931819444315]","[0.10111992618519476, 0.0, 0.035404085844351674]",0.0001174016988814226,-0.16017146631496926,-0.0015230100867815034
11.350000000000374,11.355000000000375,2.5218630256470306e-05,"[0.10139053894903015, 0.0, 0.03536175510098215]","[0.10150398499396247, 0.0, 0.03538250503731302]",0.00011532807536988738,-0.16037182375301903,-0.002081482134713203
11.375000000000378,11.38000000000038,2.4514315368952005e-05,"[0.10178015900739493, 0.0, 0.03533815857319231]","[0.10189050609421607, 0.0, 0.03536482246579134]",0.00011352287319499049,-0.16057720768982087,-0.002639727347448901
11.400000000000382,11.405000000000383,2.3940528116951122e-05,"[0.10217229119574145, 0.0, 0.03531853460978816]","[0.10227946564351342, 0.0, 0.035351039220530955]",0.00011199514263916982,-0.16078759732148415,-0.003197717571998931
11.425000000000386,11.430000000000387,2.3495135456161222e-05,"[0.10256690899375019, 0.0, 0.03530288895245856]","[0.1026708396489974, 0.0, 0.03534115615174732]",0.00011075179294945645,-0.16100297134532565,-0.0037554238058217417
11.45000000000039,11.45500000000039,2.317572676324628e-05,"[0.10296398531924597, 0.0, 0.03529122707753893]","[0.10306460396887578, 0.0, 0.035335173869074726]",0.00010979723648442332,-0.16122330802503423,-0.004312816220347285
11.475000000000394,11.480000000000395,2.29795988739601e-05,"[0.10336349252917014, 0.0, 0.03528355418869792]","[0.10346073431391048, 0.0, 0.035333092741528516]",0.00010913309725301643,-0.1614485852624032,-0.004869864186636537
11.500000000000398,11.505000000000399,2.2903740194547542e-05,"[0.10376540242403338, 0.0, 0.03527987521076741]","[0.10385920624891591, 0.0, 0.03533491289748239]",0.00010875800899946521,-0.16167878067631772,-0.005426536303241649
11.525000000000402,11.530000000000403,2.2944814139227404e-05,"[0.10416968625594962, 0.0, 0.03528019478483472]","[0.10425999519426615, 0.0, 0.03534063422466063]",0.0001086675214879296,-0.1619138716852325,-0.0059828004250359985
11.550000000000406,11.555000000000407,2.3099142203709552e-05,"[0.1045763147403067, 0.0, 0.03528451726469228]","[0.10466307642741117, 0.0, 0.0353502563701448]",0.00010885412410612652,-0.1621538355950192,-0.006538623693317093
11.57500000000041,11.58000000000041,2.3362687044540557e-05,"[0.10498525807107614, 0.0, 0.03529284671472777]","[0.10506842508440184, 0.0, 0.035363778740395646]",0.00010930738479565076,-0.1623986496899213,-0.007093972566320507
11.600000000000414,11.605000000000414,2.3731035980939372e-05,"[0.10539648593970707, 0.0, 0.03530518690931172]","[0.10547601616142363, 0.0, 0.03538120050128962]",0.00011001419150122333,-0.16264829132472514,-0.007648812849401446
11.625000000000417,11.630000000000418,2.41993853805152e-05,"[0.10580996755749217, 0.0, 0.035321541333715074]","[0.1058858245163389, 0.0, 0.03540252057817056]",0.0001109590746088704,-0.1629027380187856,-0.008203109724702087
11.650000000000421,11.655000000000422,2.4762526422156098e-05,"[0.1062256716812322, 0.0, 0.03534191318656385]","[0.10629782487023809, 0.0, 0.035427737655915614]",0.00011212458349189509,-0.16316196754768653,-0.008756827778910977
11.675000000000425,11.680000000000426,2.5414832759697525e-05,"[0.10664356664195752, 0.0, 0.03536630538380479]","[0.1067119918089986, 0.0, 0.03545685017901665]",0.00011349168879066101,-0.1634259580347808,-0.00930993102926207
11.70000000000043,11.70500000000043,2.6150250610810904e-05,"[0.10706362037640811, 0.0, 0.0353947205641275]","[0.10712829978485273, 0.0, 0.03548985635167615]",0.00011504018406299517,-0.16369468803673148,-0.00986238294590104
11.725000000000433,11.730000000000434,2.6962291806769527e-05,"[0.1074858004609051, 0.0, 0.03542716109575267]","[0.10754672311796355, 0.0, 0.03552675413791784]",0.00011674906505310948,-0.16396813662525078,-0.01041414647065687
11.750000000000437,11.755000000000438,2.7844030315777137e-05,"[0.10791007414718616, 0.0, 0.03546362908446349]","[0.10796723599800898, 0.0, 0.03556754126171252]",0.00011859687082770824,-0.16424628346152392,-0.01096518403092285
11.775000000000441,11.780000000000442,2.8788102729520514e-05,"[0.10833640839972858, 0.0, 0.03550412638272458]","[0.10838981248577371, 0.0, 0.0356122152071183]",0.00012056197727779925,-0.16452910886364208,-0.011515457548130999
11.800000000000445,11.805000000000446,2.9786713153418032e-05,"[0.10876476993403317, 0.0, 0.03554865459970349]","[0.10881442651474954, 0.0, 0.03566077321843569]",0.00012262283912411816,-0.16481659386482875,-0.012064928439804171
